epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8064,1.14896,0.50801,0.9118,0.9918,0.96174,0.95941,0.70798,0.97274,0.49007,0.83674,0.000547949,0.000547949,0.000547949
2,131.886,1.20587,0.52043,0.92656,0.9949,0.96347,0.95943,0.67733,1.07685,0.50049,0.85158,0.00109269,0.00109269,0.00109269
3,167.864,1.19018,0.51722,0.91538,0.99522,0.96164,0.95966,0.68083,1.03427,0.49948,0.85073,0.00162643,0.00162643,0.00162643
4,318.236,1.19398,0.52483,0.92125,0.99822,0.96509,0.96479,0.66006,1.09981,0.50916,0.8516,0.00161749,0.00161749,0.00161749
5,383.162,1.2148,0.53118,0.91719,0.99782,0.96448,0.96475,0.61633,1.26991,0.54419,0.86879,0.00160099,0.00160099,0.00160099
6,440.717,1.19135,0.51273,0.91534,0.99614,0.96448,0.95903,0.64517,1.19411,0.5241,0.85294,0.00158448,0.00158448,0.00158448
7,508.921,1.16508,0.50549,0.90795,0.99828,0.96466,0.96478,0.66953,1.10576,0.49322,0.84765,0.00156798,0.00156798,0.00156798
8,539.351,1.16259,0.50335,0.90462,0.99783,0.96405,0.96479,0.68357,1.02548,0.47396,0.8425,0.00155148,0.00155148,0.00155148
9,580.244,1.13593,0.492,0.90906,0.99894,0.9653,0.96474,0.71601,0.98198,0.47823,0.83893,0.00153497,0.00153497,0.00153497
10,620.087,1.12038,0.48866,0.90216,0.99888,0.96517,0.9647,0.53616,1.57093,0.59232,0.90516,0.00151847,0.00151847,0.00151847
11,662.339,1.15676,0.49757,0.91157,0.99914,0.96539,0.96469,0.68415,1.03879,0.48203,0.83974,0.00150197,0.00150197,0.00150197
12,711.027,1.19508,0.49936,0.91062,0.99838,0.96568,0.96491,0.72415,0.89882,0.45201,0.83183,0.00148546,0.00148546,0.00148546
13,769.757,1.15263,0.49128,0.90183,0.92349,0.964,0.90384,0.59385,1.25586,0.58442,0.86211,0.00146896,0.00146896,0.00146896
14,834.142,1.12975,0.48071,0.89834,0.99925,0.96542,0.96481,0.58536,1.4106,0.55047,0.87914,0.00145246,0.00145246,0.00145246
15,878.867,1.16415,0.48815,0.91141,0.99889,0.96536,0.96482,0.70206,1.01746,0.46788,0.8363,0.00143595,0.00143595,0.00143595
16,929.187,1.17092,0.48715,0.90277,0.99584,0.96323,0.96482,0.67584,1.09943,0.49022,0.85366,0.00141945,0.00141945,0.00141945
17,986.435,1.10881,0.47008,0.89436,0.99769,0.96504,0.96486,0.67423,1.11439,0.50609,0.84273,0.00140295,0.00140295,0.00140295
18,1015.13,1.13836,0.48546,0.90049,0.99786,0.96523,0.96484,0.71841,0.94447,0.45898,0.83098,0.00138644,0.00138644,0.00138644
19,1048.36,1.14193,0.47922,0.89857,0.99845,0.96517,0.96487,0.67704,1.07216,0.46518,0.84776,0.00136994,0.00136994,0.00136994
20,1116,1.102,0.46919,0.90054,0.99864,0.96486,0.96489,0.65756,1.11834,0.47484,0.85424,0.00135344,0.00135344,0.00135344
21,1171.23,1.1141,0.47075,0.894,0.99866,0.96555,0.96485,0.65996,1.1363,0.49883,0.85124,0.00133693,0.00133693,0.00133693
22,1211.23,1.08644,0.46321,0.88523,0.9989,0.95768,0.96485,0.71216,0.9072,0.44215,0.83257,0.00132043,0.00132043,0.00132043
23,1249.53,1.12149,0.47037,0.89431,0.99818,0.96239,0.96485,0.66751,1.09906,0.48598,0.85159,0.00130393,0.00130393,0.00130393
24,1296.83,1.06222,0.45404,0.8861,0.99879,0.96542,0.96473,0.65164,1.17899,0.496,0.85353,0.00128742,0.00128742,0.00128742
25,1348.45,1.08676,0.4618,0.88648,0.99939,0.96548,0.96493,0.63644,1.22807,0.49933,0.85543,0.00127092,0.00127092,0.00127092
26,1436.35,1.10467,0.46781,0.89689,0.99933,0.96549,0.96491,0.64203,1.24527,0.50769,0.859,0.00125442,0.00125442,0.00125442
27,1465.01,1.1024,0.46284,0.88737,0.999,0.96561,0.96489,0.62133,1.31271,0.51871,0.86442,0.00123791,0.00123791,0.00123791
