epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1773,1.18117,0.57647,0.93806,0.74307,0.50686,0.50081,0.34622,1.37792,1.3108,1.26995,0.000412879,0.000412879,0.000412879
2,149.929,1.19551,0.55191,0.93473,0.77059,0.71092,0.59635,0.37151,1.33415,3.42936,1.09881,0.000821333,0.000821333,0.000821333
3,198.345,1.17713,0.54271,0.92359,0.67324,0.61236,0.60383,0.36114,1.34168,1.33716,1.07842,0.00122154,0.00122154,0.00122154
4,250.434,1.21595,0.56006,0.93255,0.73626,0.68285,0.67438,0.42356,1.24131,0.94369,1.11428,0.00121287,0.00121287,0.00121287
5,290.257,1.19032,0.54447,0.92228,0.80064,0.78093,0.78822,0.46774,1.19723,0.86664,1.06266,0.0012005,0.0012005,0.0012005
6,341.259,1.21637,0.54064,0.92976,0.73423,0.73359,0.68429,0.41114,1.34987,0.89899,1.13333,0.00118812,0.00118812,0.00118812
7,392.295,1.1638,0.52669,0.92413,0.80061,0.76238,0.81007,0.46595,1.25972,0.77117,1.0457,0.00117575,0.00117575,0.00117575
8,444.288,1.1437,0.51766,0.92075,0.92449,0.79629,0.84487,0.47529,1.32159,0.79467,1.0416,0.00116337,0.00116337,0.00116337
9,508.531,1.18677,0.52295,0.91985,0.78787,0.81381,0.81865,0.48999,1.2056,0.78878,1.03712,0.001151,0.001151,0.001151
10,577.486,1.14871,0.50388,0.91168,0.8316,0.7851,0.81318,0.41684,1.56567,0.78719,1.08872,0.00113863,0.00113863,0.00113863
11,644.696,1.14243,0.50154,0.90801,0.89153,0.8537,0.8999,0.55012,1.24758,0.70804,0.98605,0.00112625,0.00112625,0.00112625
12,697.121,1.16842,0.5104,0.91619,0.91122,0.90073,0.92811,0.51705,1.31882,0.66452,1.14406,0.00111388,0.00111388,0.00111388
13,763.258,1.15766,0.50287,0.91249,0.88887,0.86257,0.90428,0.51969,1.31085,0.74008,1.04687,0.0011015,0.0011015,0.0011015
14,794.279,1.13968,0.49532,0.90252,0.89354,0.85528,0.91689,0.56228,1.22006,0.75545,1.00721,0.00108913,0.00108913,0.00108913
15,866.939,1.13182,0.49577,0.9048,0.89812,0.83418,0.89488,0.51793,1.25115,0.74617,1.11284,0.00107675,0.00107675,0.00107675
16,1016.73,1.12884,0.49418,0.90558,0.93779,0.88059,0.92758,0.53386,1.29835,0.62804,1.03489,0.00106437,0.00106437,0.00106437
17,1059.73,1.11294,0.48976,0.90762,0.92145,0.82052,0.88024,0.511,1.26868,0.75263,1.0851,0.001052,0.001052,0.001052
18,1127.54,1.12235,0.48938,0.90316,0.91583,0.85464,0.87233,0.51134,1.284,0.70485,1.03913,0.00103962,0.00103962,0.00103962
19,1178.39,1.10713,0.48527,0.8964,0.91827,0.90436,0.92391,0.51439,1.34257,0.62569,1.02282,0.00102725,0.00102725,0.00102725
20,1245.96,1.13417,0.48905,0.89902,0.86527,0.78994,0.88808,0.52343,1.24079,0.71869,0.99684,0.00101488,0.00101488,0.00101488
21,1306.75,1.10645,0.48078,0.90073,0.90199,0.92933,0.94622,0.60404,1.09944,0.57639,0.97702,0.0010025,0.0010025,0.0010025
22,1347.45,1.11894,0.4802,0.90683,0.90743,0.85512,0.90084,0.55728,1.10305,0.60768,0.97845,0.000990125,0.000990125,0.000990125
23,1386.29,1.11033,0.47678,0.89934,0.91153,0.78184,0.87706,0.5502,1.05313,0.60276,0.95676,0.00097775,0.00097775,0.00097775
24,1436.36,1.09673,0.47149,0.90063,0.93139,0.9404,0.95374,0.59443,1.3455,0.6275,0.96518,0.000965375,0.000965375,0.000965375
