epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9739,1.84801,1.28268,1.09702,0.84401,0.82367,0.88528,0.33654,2.18256,1.55117,1.01491,0.000544981,0.000544981,0.000544981
2,48.7879,1.55043,0.74852,0.99329,0.68203,0.76616,0.75542,0.35886,1.52915,0.82922,0.93188,0.00107885,0.00107885,0.00107885
3,77.155,1.39786,0.6636,0.95287,0.76903,0.68575,0.68518,0.3528,1.50133,1.08037,0.90999,0.00159072,0.00159072,0.00159072
4,117.132,1.37797,0.6357,0.94156,0.57426,0.57213,0.5381,0.25385,1.73919,1.06155,0.97086,0.00156798,0.00156798,0.00156798
5,140.825,1.29526,0.59539,0.92352,0.92159,0.90537,0.9484,0.60169,1.24781,0.62111,0.86484,0.00153497,0.00153497,0.00153497
6,201.361,1.28145,0.57209,0.9123,0.96415,0.93243,0.96069,0.58153,1.17766,0.58761,0.85409,0.00150197,0.00150197,0.00150197
7,234.578,1.29261,0.57856,0.91558,0.98196,0.98706,0.98433,0.46177,1.58111,0.64877,0.91128,0.00146896,0.00146896,0.00146896
8,258.236,1.24726,0.57358,0.91407,0.96945,0.98745,0.99043,0.5941,1.28187,0.60593,0.8622,0.00143595,0.00143595,0.00143595
9,276.915,1.22071,0.5709,0.89678,0.98405,0.98812,0.99339,0.6157,1.28128,0.57633,0.86138,0.00140295,0.00140295,0.00140295
10,299.344,1.17104,0.53714,0.89653,0.99118,0.99554,0.99423,0.62079,1.17776,0.53805,0.85151,0.00136994,0.00136994,0.00136994
11,317.862,1.24195,0.53949,0.89934,0.98714,0.99518,0.99435,0.69579,1.01353,0.49446,0.83658,0.00133693,0.00133693,0.00133693
12,343.232,1.16527,0.52161,0.89856,0.99486,0.99848,0.99484,0.58639,1.34866,0.56408,0.86514,0.00130393,0.00130393,0.00130393
13,388.809,1.15566,0.51117,0.89055,0.97684,0.97484,0.99078,0.67173,1.14794,0.55297,0.84042,0.00127092,0.00127092,0.00127092
14,424.012,1.14699,0.50504,0.88698,0.99503,0.99569,0.99476,0.65212,1.19211,0.51495,0.84295,0.00123791,0.00123791,0.00123791
15,448.469,1.1272,0.49942,0.88161,0.99443,0.99822,0.99474,0.55095,1.47141,0.58044,0.87721,0.00120491,0.00120491,0.00120491
